Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PNNL SC Chip 1 B	Peptides PNNL SC Chip 1 C	Peptides PNNL SC Chip1 A	Razor + unique peptides PNNL SC Chip 1 B	Razor + unique peptides PNNL SC Chip 1 C	Razor + unique peptides PNNL SC Chip1 A	Unique peptides PNNL SC Chip 1 B	Unique peptides PNNL SC Chip 1 C	Unique peptides PNNL SC Chip1 A	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity corrected 1 PNNL SC Chip 1 B	Reporter intensity corrected 2 PNNL SC Chip 1 B	Reporter intensity corrected 3 PNNL SC Chip 1 B	Reporter intensity corrected 4 PNNL SC Chip 1 B	Reporter intensity corrected 5 PNNL SC Chip 1 B	Reporter intensity corrected 6 PNNL SC Chip 1 B	Reporter intensity corrected 7 PNNL SC Chip 1 B	Reporter intensity corrected 8 PNNL SC Chip 1 B	Reporter intensity corrected 9 PNNL SC Chip 1 B	Reporter intensity corrected 10 PNNL SC Chip 1 B	Reporter intensity corrected 1 PNNL SC Chip 1 C	Reporter intensity corrected 2 PNNL SC Chip 1 C	Reporter intensity corrected 3 PNNL SC Chip 1 C	Reporter intensity corrected 4 PNNL SC Chip 1 C	Reporter intensity corrected 5 PNNL SC Chip 1 C	Reporter intensity corrected 6 PNNL SC Chip 1 C	Reporter intensity corrected 7 PNNL SC Chip 1 C	Reporter intensity corrected 8 PNNL SC Chip 1 C	Reporter intensity corrected 9 PNNL SC Chip 1 C	Reporter intensity corrected 10 PNNL SC Chip 1 C	Reporter intensity corrected 1 PNNL SC Chip1 A	Reporter intensity corrected 2 PNNL SC Chip1 A	Reporter intensity corrected 3 PNNL SC Chip1 A	Reporter intensity corrected 4 PNNL SC Chip1 A	Reporter intensity corrected 5 PNNL SC Chip1 A	Reporter intensity corrected 6 PNNL SC Chip1 A	Reporter intensity corrected 7 PNNL SC Chip1 A	Reporter intensity corrected 8 PNNL SC Chip1 A	Reporter intensity corrected 9 PNNL SC Chip1 A	Reporter intensity corrected 10 PNNL SC Chip1 A	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A	Reporter intensity count 1 PNNL SC Chip 1 B	Reporter intensity count 2 PNNL SC Chip 1 B	Reporter intensity count 3 PNNL SC Chip 1 B	Reporter intensity count 4 PNNL SC Chip 1 B	Reporter intensity count 5 PNNL SC Chip 1 B	Reporter intensity count 6 PNNL SC Chip 1 B	Reporter intensity count 7 PNNL SC Chip 1 B	Reporter intensity count 8 PNNL SC Chip 1 B	Reporter intensity count 9 PNNL SC Chip 1 B	Reporter intensity count 10 PNNL SC Chip 1 B	Reporter intensity count 1 PNNL SC Chip 1 C	Reporter intensity count 2 PNNL SC Chip 1 C	Reporter intensity count 3 PNNL SC Chip 1 C	Reporter intensity count 4 PNNL SC Chip 1 C	Reporter intensity count 5 PNNL SC Chip 1 C	Reporter intensity count 6 PNNL SC Chip 1 C	Reporter intensity count 7 PNNL SC Chip 1 C	Reporter intensity count 8 PNNL SC Chip 1 C	Reporter intensity count 9 PNNL SC Chip 1 C	Reporter intensity count 10 PNNL SC Chip 1 C	Reporter intensity count 1 PNNL SC Chip1 A	Reporter intensity count 2 PNNL SC Chip1 A	Reporter intensity count 3 PNNL SC Chip1 A	Reporter intensity count 4 PNNL SC Chip1 A	Reporter intensity count 5 PNNL SC Chip1 A	Reporter intensity count 6 PNNL SC Chip1 A	Reporter intensity count 7 PNNL SC Chip1 A	Reporter intensity count 8 PNNL SC Chip1 A	Reporter intensity count 9 PNNL SC Chip1 A	Reporter intensity count 10 PNNL SC Chip1 A	Sequence coverage PNNL SC Chip 1 B [%]	Sequence coverage PNNL SC Chip 1 C [%]	Sequence coverage PNNL SC Chip1 A [%]	Intensity	Intensity PNNL SC Chip 1 B	Intensity PNNL SC Chip 1 C	Intensity PNNL SC Chip1 A	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q8TBQ9	Q8TBQ9	1	1	1	Protein kish-A	TMEM167A	sp|Q8TBQ9|KISHA_HUMAN Protein	1	1	1	1	0	1	0	0	1	0	0	1	0	12.5	12.5	12.5	8.0598	72	72	0.0098832	5.7764	637.78	868.02	340.15	415.92	1177.7	1973.6	620.78	772.22	0	24145	637.78	868.02	340.15	415.92	1177.7	1973.6	620.78	772.22	0	24145	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	637.78	868.02	340.15	415.92	1177.7	1973.6	620.78	772.22	0	24145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637.78	868.02	340.15	415.92	1177.7	1973.6	620.78	772.22	0	24145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	12.5	0	278190	0	278190	0	1				929	4096	TRUE	4131	9525	9832	9832		
Q8WUF5	Q8WUF5	1	1	1	RelA-associated inhibitor	PPP1R13L	sp|Q8WUF5|IASPP_HUMAN RelA-associated	1	1	1	1	0	0	1	0	0	1	0	0	1	1.3	1.3	1.3	89.09	828	828	0.0011416	7.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	1				930	125	TRUE	126	290	296	296		
Q8WUM4	Q8WUM4	4	4	4	Programmed cell death 6-interacting protein	PDCD6IP	sp|Q8WUM4|PDC6I_HUMAN Programmed	1	4	4	4	2	1	1	2	1	1	2	1	1	4.7	4.7	4.7	96.022	868	868	0	23.513	977.83	1928.1	1979.6	2380	2495.3	1830.2	973.14	788.34	0	50590	977.83	1928.1	1979.6	2380	2495.3	1830.2	973.14	788.34	0	50590	2	2	3	3	3	2	2	2	0	3	371.99	603.45	980.08	1500.3	1369.4	625.43	412.5	323.69	0	35608	605.85	1324.6	999.56	879.71	1126	1204.8	560.64	464.65	0	14982	0	0	0	0	0	0	0	0	0	0	371.99	603.45	980.08	1500.3	1369.4	625.43	412.5	323.69	0	35608	605.85	1324.6	999.56	879.71	1126	1204.8	560.64	464.65	0	14982	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	1	1	0	2	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2.5	1.3	0.9	1100000	681940	418030	0	4				931	1529;2735;2856;4845	True;True;True;True	1546;2756;2879;4889	3584;6342;6632;11313	3706;6537;6839;11691	3706;6537;6839;11691		
Q8WVC6	Q8WVC6	1	1	1	Dephospho-CoA kinase domain-containing protein	DCAKD	sp|Q8WVC6|DCAKD_HUMAN Dephospho-CoA	1	1	1	1	0	0	1	0	0	1	0	0	1	5.6	5.6	5.6	26.55	231	231	0.0075758	5.996	2584.6	1412.2	2860.3	870.48	1022.4	780.17	532.01	896.91	0	27580	2584.6	1412.2	2860.3	870.48	1022.4	780.17	532.01	896.91	0	27580	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2584.6	1412.2	2860.3	870.48	1022.4	780.17	532.01	896.91	0	27580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2584.6	1412.2	2860.3	870.48	1022.4	780.17	532.01	896.91	0	27580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	5.6	1149400	0	0	1149400	1				932	4573	TRUE	4613	10679	11043	11043		
Q8WVJ2	Q8WVJ2	2	2	2	NudC domain-containing protein 2	NUDCD2	sp|Q8WVJ2|NUDC2_HUMAN NudC	1	2	2	2	0	0	2	0	0	2	0	0	2	18.5	18.5	18.5	17.676	157	157	0.0012674	11.385	815.78	1342.5	866.54	956.71	1137	789.47	1278.2	1055	0	34587	815.78	1342.5	866.54	956.71	1137	789.47	1278.2	1055	0	34587	2	2	1	1	2	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815.78	1342.5	866.54	956.71	1137	789.47	1278.2	1055	0	34587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815.78	1342.5	866.54	956.71	1137	789.47	1278.2	1055	0	34587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	1	2	2	0	2	0	0	18.5	1076300	0	0	1076300	2				933	326;1155	True;True	332;1170	767;2745	798;2846	798;2846		
Q92499	Q92499	2	2	2	ATP-dependent RNA helicase DDX1	DDX1	sp|Q92499|DDX1_HUMAN ATP-dependent	1	2	2	2	2	2	1	2	2	1	2	2	1	3.5	3.5	3.5	82.431	740	740	0	13.122	3571.7	4251.2	4214.7	3607	3818.5	3559.4	4999.1	6323	0	226350	3571.7	4251.2	4214.7	3607	3818.5	3559.4	4999.1	6323	0	226350	4	4	4	4	4	4	4	4	0	5	752.79	932.2	1134.5	1357.6	1591.4	878.89	1433.1	1259.4	0	50369	981.88	1988.2	2081.5	1620.1	1218.2	1889.8	2180	2755.2	0	86977	1837.1	1330.8	998.7	629.31	1008.9	790.72	1386	2308.4	0	89003	752.79	932.2	1134.5	1357.6	1591.4	878.89	1433.1	1259.4	0	50369	981.88	1988.2	2081.5	1620.1	1218.2	1889.8	2180	2755.2	0	86977	1837.1	1330.8	998.7	629.31	1008.9	790.72	1386	2308.4	0	89003	1	1	1	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	0	1	3.5	3.5	1.4	8172300	3590600	2055100	2526700	5				934	1360;1842	True;True	1375;1859	3199;3200;3201;4311;4312	3315;3316;3317;4453;4454	3315;4454		
Q92598	Q92598	3	3	3	Heat shock protein 105 kDa	HSPH1	sp|Q92598|HS105_HUMAN Heat	1	3	3	3	1	2	3	1	2	3	1	2	3	3.8	3.8	3.8	96.864	858	858	0	20.484	2286	2697.7	3179.1	3349.6	4981.4	6731.4	4444.8	6903	261.72	247240	2286	2697.7	3179.1	3349.6	4981.4	6731.4	4444.8	6903	261.72	247240	4	5	5	6	6	6	6	6	1	6	696.23	0	795.81	678.22	1158.6	860.39	864.26	2064	0	68765	597.88	1561.2	1060.2	935.45	1228.3	1685.4	2192.4	2326.8	0	88345	991.89	1136.5	1323.1	1735.9	2594.5	4185.6	1388.1	2512.2	261.72	90131	696.23	0	795.81	678.22	1158.6	860.39	864.26	2064	0	68765	597.88	1561.2	1060.2	935.45	1228.3	1685.4	2192.4	2326.8	0	88345	991.89	1136.5	1323.1	1735.9	2594.5	4185.6	1388.1	2512.2	261.72	90131	1	0	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	0	2	2	3	2	3	3	3	3	3	1	3	1.2	2.2	3.8	4792400	1328100	1885800	1578600	6				935	133;154;1520	True;True;True	134;155;1537	308;309;356;3559;3560;3561	314;315;365;3680;3681;3682	315;365;3681		
Q92621	Q92621	1	1	1	Nuclear pore complex protein Nup205	NUP205	sp|Q92621|NU205_HUMAN Nuclear	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	0.5	227.92	2012	2012	0.0075829	5.9972	1361.5	1453.2	1474.3	1466.7	2091.1	2364.8	1529	1084.1	0	59158	1361.5	1453.2	1474.3	1466.7	2091.1	2364.8	1529	1084.1	0	59158	3	3	3	2	3	3	2	2	0	3	408.62	299.01	534.56	667.71	663.1	357.29	458.44	0	0	21203	608.27	729.98	575.16	798.96	1028	1347.8	1070.5	527.22	0	19903	344.61	424.24	364.55	0	399.99	659.74	0	556.9	0	18053	408.62	299.01	534.56	667.71	663.1	357.29	458.44	0	0	21203	608.27	729.98	575.16	798.96	1028	1347.8	1070.5	527.22	0	19903	344.61	424.24	364.55	0	399.99	659.74	0	556.9	0	18053	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0.5	0.5	0.5	1491900	560360	489890	441640	3				936	736	TRUE	743	1711;1712;1713	1784;1785;1786	1784		
Q92688	Q92688	2	2	2	Acidic leucine-rich nuclear phosphoprotein 32 family member B	ANP32B	sp|Q92688|AN32B_HUMAN Acidic	1	2	2	2	1	1	1	1	1	1	1	1	1	6.4	6.4	6.4	28.787	251	251	0	13.208	6234.6	6211.8	6196.9	6531.8	10026	8997.6	11034	26861	333.09	761120	6234.6	6211.8	6196.9	6531.8	10026	8997.6	11034	26861	333.09	761120	4	4	4	4	4	4	4	4	1	4	1287.9	1251.1	1753.4	2171.8	3448	3527.6	3618.6	10469	333.09	270900	1082.6	795.42	1401.5	1247.1	1751.2	1159.6	2947.4	9924.2	0	289300	3864.1	4165.3	3042	3112.9	4826.8	4310.4	4467.6	6467.8	0	200910	1287.9	1251.1	1753.4	2171.8	3448	3527.6	3618.6	10469	333.09	270900	1082.6	795.42	1401.5	1247.1	1751.2	1159.6	2947.4	9924.2	0	289300	3864.1	4165.3	3042	3112.9	4826.8	4310.4	4467.6	6467.8	0	200910	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	2	2	2	2	2	2	0	2	3.2	3.2	3.2	16311000	5006100	4826500	6478500	4				937	1143;2448	True;True	1158;2466	2730;2731;5692;5693	2831;2832;5858;5859	2831;5859		
Q92734	Q92734	1	1	1	Protein TFG	TFG	sp|Q92734|TFG_HUMAN Protein	1	1	1	1	0	0	1	0	0	1	0	0	1	2.5	2.5	2.5	43.447	400	400	0.0020964	6.6352	721.6	712.48	660.5	294.34	0	717.1	697.2	1059.1	0	33290	721.6	712.48	660.5	294.34	0	717.1	697.2	1059.1	0	33290	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721.6	712.48	660.5	294.34	0	717.1	697.2	1059.1	0	33290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721.6	712.48	660.5	294.34	0	717.1	697.2	1059.1	0	33290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	2.5	637810	0	0	637810	1				938	2790	TRUE	2811	6482	6681	6681		
Q92743	Q92743	1	1	1	Serine protease HTRA1	HTRA1	sp|Q92743|HTRA1_HUMAN Serine	1	1	1	1	1	0	0	1	0	0	1	0	0	2.9	2.9	2.9	51.286	480	480	0.0021277	6.7265	0	0	0	0	0	263.1	338.01	0	0	10603	0	0	0	0	0	263.1	338.01	0	0	10603	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	263.1	338.01	0	0	10603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.1	338.01	0	0	10603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	624190	624190	0	0	1				939	1541	TRUE	1558	3609	3731	3731		
Q92841	Q92841	12	6	6	Probable ATP-dependent RNA helicase DDX17	DDX17	sp|Q92841|DDX17_HUMAN Probable	1	12	6	6	8	9	9	2	4	5	2	4	5	17.7	9.1	9.1	80.272	729	729	0	43.662	9412.2	11062	8280	8662.5	13390	12251	11317	16121	305.97	568400	9412.2	11062	8280	8662.5	13390	12251	11317	16121	305.97	568400	8	8	8	8	11	8	9	11	1	11	1736.1	443.95	1574	1432.6	1700.4	1346.6	1592.1	1601.3	0	58925	2876.5	3357.2	2611	3303.5	2942.8	4333.7	2876.8	4708.9	305.97	166570	4799.5	7261	4095	3926.4	8746.8	6571.1	6847.9	9810.8	0	342910	1736.1	443.95	1574	1432.6	1700.4	1346.6	1592.1	1601.3	0	58925	2876.5	3357.2	2611	3303.5	2942.8	4333.7	2876.8	4708.9	305.97	166570	4799.5	7261	4095	3926.4	8746.8	6571.1	6847.9	9810.8	0	342910	1	1	1	1	2	1	1	2	0	2	3	3	3	3	4	3	4	4	1	4	4	4	4	4	5	4	4	5	0	5	13	14	13.6	23989000	3212100	5151700	15625000	11				940	311;880;1095;1510;1589;1752;1894;2378;2487;2692;3937;4131	False;True;True;True;False;False;False;False;True;True;False;True	315;890;1110;1527;1606;1769;1910;2396;2505;2713;3971;4167	727;728;729;730;731;2050;2610;2611;2612;3532;3533;3534;3720;3721;3722;4083;4084;4085;4431;4432;5530;5531;5532;5776;6257;9111;9608;9609	748;749;750;751;752;2137;2710;2711;2712;3653;3654;3655;3844;3845;3846;4220;4221;4222;4575;4576;5693;5694;5695;5949;6449;9397;9920;9921	752;2137;2710;3655;3844;4222;4575;5695;5949;6449;9397;9921		
Q92896	Q92896	8	8	8	Golgi apparatus protein 1	GLG1	sp|Q92896|GSLG1_HUMAN Golgi	1	8	8	8	4	4	5	4	4	5	4	4	5	7.5	7.5	7.5	134.55	1179	1179	0	56.751	5109.7	5602.3	7963.7	5414.8	11605	10093	8265.3	13273	0	504190	5109.7	5602.3	7963.7	5414.8	11605	10093	8265.3	13273	0	504190	9	8	12	9	12	12	13	13	0	13	2079.7	802.93	2103.6	1563.2	3707.3	2143	3062.8	5123.1	0	197070	1500.2	2996.1	3840.2	2636.8	5063.4	5609.5	2772	4156.3	0	149280	1529.8	1803.3	2019.9	1214.8	2834.4	2340.3	2430.4	3993.9	0	157830	2079.7	802.93	2103.6	1563.2	3707.3	2143	3062.8	5123.1	0	197070	1500.2	2996.1	3840.2	2636.8	5063.4	5609.5	2772	4156.3	0	149280	1529.8	1803.3	2019.9	1214.8	2834.4	2340.3	2430.4	3993.9	0	157830	4	2	4	3	4	4	4	4	0	4	2	3	4	3	4	4	4	4	0	4	3	3	4	3	4	4	5	5	0	5	3.6	3.2	4.4	9005400	2215500	3293200	3496700	14				941	263;520;1163;1316;2322;2604;2911;3407	True;True;True;True;True;True;True;True	264;526;1178;1331;2340;2624;2935;3437	619;1214;1215;2762;3096;5411;5412;6031;6032;6762;7935;7936;7937	637;1273;1274;2864;3208;5571;5572;5573;6211;6212;6971;8180;8181;8182	637;1274;2864;3208;5573;6211;6971;8181		
Q92900	Q92900	1	1	1	Regulator of nonsense transcripts 1	UPF1	sp|Q92900|RENT1_HUMAN Regulator	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	124.34	1129	1129	0.010027	5.8118	697.06	612.31	1521.5	680.64	1043.4	461.76	265.89	366.36	0	23675	697.06	612.31	1521.5	680.64	1043.4	461.76	265.89	366.36	0	23675	2	1	2	1	1	1	1	1	0	2	422.37	0	1047.4	680.64	1043.4	461.76	0	0	0	14037	0	0	0	0	0	0	0	0	0	0	274.69	612.31	474.1	0	0	0	265.89	366.36	0	9637.6	422.37	0	1047.4	680.64	1043.4	461.76	0	0	0	14037	0	0	0	0	0	0	0	0	0	0	274.69	612.31	474.1	0	0	0	265.89	366.36	0	9637.6	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	983830	550030	0	433800	2				942	3274	TRUE	3304	7655;7656	7891;7892	7891		
Q92945	Q92945	10	10	8	Far upstream element-binding protein 2	KHSRP	sp|Q92945|FUBP2_HUMAN Far	1	10	10	8	9	8	8	9	8	8	8	6	6	16.5	16.5	13.5	73.114	711	711	0	79.725	23839	26645	33637	26187	42572	37837	31127	54511	866.99	1746900	23839	26645	33637	26187	42572	37837	31127	54511	866.99	1746900	24	21	25	23	23	23	26	28	3	28	7523.2	4629.7	11024	10187	16473	10856	10203	17864	0	589060	8270.7	14551	15089	10851	17578	18778	12064	17092	866.99	579840	8045	7464.5	7524.3	5149.1	8520.8	8202.8	8860.6	19554	0	578050	7523.2	4629.7	11024	10187	16473	10856	10203	17864	0	589060	8270.7	14551	15089	10851	17578	18778	12064	17092	866.99	579840	8045	7464.5	7524.3	5149.1	8520.8	8202.8	8860.6	19554	0	578050	9	5	9	9	10	9	11	11	0	11	7	9	8	8	7	8	8	9	3	9	8	7	8	6	6	6	7	8	0	8	15.5	13.2	13.2	49373000	19016000	14342000	16015000	29				943	161;198;462;551;1858;2049;2197;2230;3974;4658	True;True;True;True;True;True;True;True;True;True	163;200;469;557;1875;2066;2215;2248;4008;4699	374;375;465;466;1070;1071;1072;1283;1284;4353;4354;4355;4788;4789;4790;5131;5132;5133;5203;5204;9203;9204;9205;9206;9207;10879;10880	385;386;480;481;1127;1128;1129;1345;1346;4495;4496;4497;4498;4499;4940;4941;4942;5287;5288;5289;5361;5362;9493;9494;9495;9496;9497;11252;11253	385;480;1128;1346;4497;4941;5287;5361;9494;11252		
Q92973;O14787	Q92973	5;2	5;2	5;2	Transportin-1	TNPO1	sp|Q92973|TNPO1_HUMAN Transportin-1	2	5	5	5	2	1	3	2	1	3	2	1	3	7.3	7.3	7.3	102.35	898	898;897	0	37.011	4718.3	5513.7	4524	3131	6822.7	5091.6	5507.6	7088.4	0	336340	4718.3	5513.7	4524	3131	6822.7	5091.6	5507.6	7088.4	0	336340	6	5	5	5	8	5	6	6	0	8	650.75	0	619.89	693.25	1771.1	529.24	844.05	1722.8	0	86289	591.51	475.74	424.62	438.17	260.34	688.52	783.29	562.05	0	24162	3476	5038	3479.5	1999.6	4791.3	3873.9	3880.3	4803.6	0	225890	650.75	0	619.89	693.25	1771.1	529.24	844.05	1722.8	0	86289	591.51	475.74	424.62	438.17	260.34	688.52	783.29	562.05	0	24162	3476	5038	3479.5	1999.6	4791.3	3873.9	3880.3	4803.6	0	225890	1	0	2	2	3	1	2	2	0	3	1	1	1	1	1	1	1	1	0	1	4	4	2	2	4	3	3	3	0	4	3.3	2.4	2.8	6421700	1472400	1121200	3828100	8				944	1205;1429;1602;2557;3852	True;True;True;True;True	1220;1444;1619;2576;3886	2842;2843;3350;3749;5923;8902	2944;2945;2946;3466;3874;3875;6099;9180	2944;3466;3874;6099;9180		
Q93045	Q93045	2	1	1	Stathmin-2	STMN2	sp|Q93045|STMN2_HUMAN Stathmin-2	1	2	1	1	2	1	1	1	0	1	1	0	1	10.6	5.6	5.6	20.828	179	179	0.0011299	7.3378	1667.7	953.42	1780	1163.7	2699.8	2672	1813.8	2393.4	0	113600	1667.7	953.42	1780	1163.7	2699.8	2672	1813.8	2393.4	0	113600	2	1	2	2	2	2	2	2	0	2	669.17	0	1097.6	341.88	1457.7	1317.2	1070.3	1027.2	0	51690	0	0	0	0	0	0	0	0	0	0	998.51	953.42	682.43	821.84	1242.1	1354.8	743.55	1366.2	0	61910	669.17	0	1097.6	341.88	1457.7	1317.2	1070.3	1027.2	0	51690	0	0	0	0	0	0	0	0	0	0	998.51	953.42	682.43	821.84	1242.1	1354.8	743.55	1366.2	0	61910	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	10.6	5	5.6	2329200	1415800	0	913440	2				945	237;743	True;False	239;750	553;554;1725;1726	569;570;1801;1802	570;1802		
Q93050	Q93050	2	2	2	V-type proton ATPase 116 kDa subunit a isoform 1	ATP6V0A1	sp|Q93050|VPP1_HUMAN V-type	1	2	2	2	1	1	1	1	1	1	1	1	1	2.5	2.5	2.5	96.412	837	837	0	12.305	409.81	749.94	388.43	670.41	304.35	1665.4	601.41	1533.3	0	43709	409.81	749.94	388.43	670.41	304.35	1665.4	601.41	1533.3	0	43709	1	1	1	1	1	2	1	2	0	2	0	0	0	670.41	0	350.57	601.41	640.82	0	25300	409.81	749.94	388.43	0	304.35	1314.8	0	892.47	0	18409	0	0	0	0	0	0	0	0	0	0	0	0	0	670.41	0	350.57	601.41	640.82	0	25300	409.81	749.94	388.43	0	304.35	1314.8	0	892.47	0	18409	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1.2	1.2	1.3	846250	409690	436550	0	3				946	735;1076	True;True	742;1090	1710;2552;2553	1783;2651;2652	1783;2651		
Q969H8	Q969H8	1	1	1	Myeloid-derived growth factor	MYDGF	sp|Q969H8|MYDGF_HUMAN Myeloid-derived	1	1	1	1	0	0	1	0	0	1	0	0	1	5.2	5.2	5.2	18.795	173	173	0.0010695	6.7631	889.83	3873.3	1037.1	3011.2	3496.8	852.71	1480.2	2082.3	0	47470	889.83	3873.3	1037.1	3011.2	3496.8	852.71	1480.2	2082.3	0	47470	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889.83	3873.3	1037.1	3011.2	3496.8	852.71	1480.2	2082.3	0	47470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889.83	3873.3	1037.1	3011.2	3496.8	852.71	1480.2	2082.3	0	47470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	5.2	3130500	0	0	3130500	1				947	3983	TRUE	4017	9238	9531	9531		
